id,Data As Of,Totals By,STATE,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
118175,2023-09-27,By Month,Texas,All Sexes,30-39 years,81,656,76,0
118176,2023-09-27,By Month,Texas,All Sexes,35-44 years,125,870,114,0
118177,2023-09-27,By Month,Texas,All Sexes,40-49 years,184,1065,146,0
118178,2023-09-27,By Month,Texas,All Sexes,45-54 years,246,1380,201,0
118179,2023-09-27,By Month,Texas,All Sexes,50-64 years,577,3870,533,0
118180,2023-09-27,By Month,Texas,All Sexes,55-64 years,435,3053,410,0
118181,2023-09-27,By Month,Texas,All Sexes,65-74 years,473,4360,525,0
118182,2023-09-27,By Month,Texas,All Sexes,75-84 years,358,4903,494,0
118183,2023-09-27,By Month,Texas,All Sexes,85 years and over,248,4851,360,0
118184,2023-09-27,By Month,Texas,Male,All Ages,1142,10937,1284,0
118185,2023-09-27,By Month,Texas,Male,Under 1 year,0,92,0,0
118186,2023-09-27,By Month,Texas,Male,0-17 years,0,176,0,0
118187,2023-09-27,By Month,Texas,Male,1-4 years,0,20,0,0
118188,2023-09-27,By Month,Texas,Male,5-14 years,0,29,0,0
118189,2023-09-27,By Month,Texas,Male,15-24 years,0,228,0,0
118190,2023-09-27,By Month,Texas,Male,18-29 years,18,343,15,0
118191,2023-09-27,By Month,Texas,Male,25-34 years,34,350,26,0
118192,2023-09-27,By Month,Texas,Male,30-39 years,57,467,57,0
118193,2023-09-27,By Month,Texas,Male,35-44 years,84,586,79,0
118194,2023-09-27,By Month,Texas,Male,40-49 years,113,670,86,0
118195,2023-09-27,By Month,Texas,Male,45-54 years,152,851,124,0
118196,2023-09-27,By Month,Texas,Male,50-64 years,360,2367,333,0
118197,2023-09-27,By Month,Texas,Male,55-64 years,271,1867,256,0
118198,2023-09-27,By Month,Texas,Male,65-74 years,264,2488,315,0
118199,2023-09-27,By Month,Texas,Male,75-84 years,201,2461,283,0
118200,2023-09-27,By Month,Texas,Male,85 years and over,126,1965,188,0
118201,2023-09-27,By Month,Texas,Female,All Ages,815,9514,885,0
118202,2023-09-27,By Month,Texas,Female,Under 1 year,0,63,0,0
118203,2023-09-27,By Month,Texas,Female,0-17 years,0,111,0,0
118204,2023-09-27,By Month,Texas,Female,1-4 years,0,15,0,0
118205,2023-09-27,By Month,Texas,Female,5-14 years,0,21,0,0
118206,2023-09-27,By Month,Texas,Female,15-24 years,0,78,0,0
118207,2023-09-27,By Month,Texas,Female,18-29 years,13,116,0,0
118208,2023-09-27,By Month,Texas,Female,25-34 years,21,138,15,0
